Is_Success AS_Num src dest ARoption selectedOptionIndex pathLength Arrival_Rate
1 1 11 12 2455 0 1 50 11-12-
1 1 8 11 6564 0 3 50 8-9-12-11-
1 1 2 3 2846 0 2 50 2-1-3-
1 1 5 11 4100 0 2 50 5-3-11-
1 1 1 5 538 0 2 50 1-3-5-
1 1 8 9 1974 0 1 50 8-9-
1 1 7 1 4181 0 3 50 7-5-3-1-
1 1 4 6 6223 0 1 50 4-6-
1 1 12 13 2162 0 1 50 12-13-
1 1 11 12 7203 0 1 50 11-12-
1 1 3 6 1450 0 2 50 3-5-6-
1 1 2 14 2298 0 3 50 2-8-9-14-
1 1 12 4 4831 0 3 50 12-13-6-4-
1 1 2 8 7106 0 1 50 2-8-
1 1 11 2 5549 0 3 50 11-3-1-2-
1 1 13 3 7257 0 3 50 13-12-11-3-
1 1 12 2 4740 0 3 50 12-9-8-2-
1 1 5 8 28 0 2 50 5-7-8-
1 1 7 13 4260 0 3 50 7-5-6-13-
1 1 1 7 3939 0 3 50 1-2-8-7-
1 1 1 9 1167 0 3 50 1-2-8-9-
1 1 14 4 8246 0 2 50 14-6-4-
1 1 10 2 5898 0 3 50 10-9-8-2-
1 1 8 7 2627 0 1 50 8-7-
1 1 6 10 7033 0 2 50 6-13-10-
1 1 8 2 128 0 1 50 8-2-
0 1 7 3 8456 -1 -1 50 8-2-
1 1 2 7 1887 0 2 50 2-8-7-
1 1 11 12 5144 0 1 50 11-12-
1 1 1 12 4628 0 3 50 1-3-11-12-
1 1 6 3 1097 0 2 50 6-5-3-
1 1 6 10 2279 0 2 50 6-13-10-
1 1 10 13 245 0 1 50 10-13-
1 1 6 11 5071 0 3 50 6-13-12-11-
1 1 4 8 4326 0 2 50 4-2-8-
0 1 9 13 8317 -1 -1 50 4-2-8-
1 1 6 13 3118 0 4 50 6-14-9-12-13-
1 1 2 13 4273 0 3 50 2-4-6-13-
1 1 5 11 6955 0 2 50 5-3-11-
1 1 2 11 8046 0 3 50 2-1-3-11-
1 1 10 14 5161 0 2 50 10-9-14-
1 1 3 12 2278 0 2 50 3-11-12-
1 1 4 3 1180 0 2 50 4-1-3-
1 1 5 9 5913 0 3 50 5-6-14-9-
1 1 7 12 8242 0 3 50 7-8-9-12-
1 1 10 14 6526 0 2 50 10-9-14-
1 1 7 3 7495 0 2 50 7-5-3-
1 1 3 2 3461 0 2 50 3-1-2-
1 1 3 13 8136 0 3 50 3-11-12-13-
1 1 14 8 4793 0 2 50 14-9-8-
1 1 1 13 6057 0 3 50 1-4-6-13-
1 1 4 1 2025 0 1 50 4-1-
1 1 3 7 315 0 2 50 3-5-7-
1 1 5 11 7609 0 2 50 5-3-11-
1 1 1 11 7945 0 2 50 1-3-11-
1 1 11 13 2184 0 2 50 11-12-13-
1 1 11 14 1025 0 3 50 11-12-9-14-
1 1 12 9 1830 0 1 50 12-9-
1 1 7 9 1418 0 2 50 7-8-9-
1 1 3 2 8194 0 2 50 3-1-2-
0 1 4 2 8602 -1 -1 50 3-1-2-
1 1 11 8 4522 0 3 50 11-12-9-8-
1 1 13 5 2780 0 2 50 13-6-5-
1 1 3 12 4719 0 2 50 3-11-12-
1 1 4 8 8104 0 2 50 4-2-8-
1 1 1 3 3885 0 1 50 1-3-
1 1 2 14 4234 0 3 50 2-8-9-14-
1 1 3 10 6357 0 2 50 3-11-10-
